Period,Indicator,pathologist_population
2021,Medical and Pathology Laboratory scientists  (number),59333
2020,Medical and Pathology Laboratory scientists  (number),55926
2019,Medical and Pathology Laboratory scientists  (number),53922
2018,Medical and Pathology Laboratory scientists  (number),47103
2017,Medical and Pathology Laboratory scientists  (number),40419
